Date,1 USD to INR conversion rate
30/06/2022,78.9732
29/06/2022,78.8985
28/06/2022,79.0558
27/06/2022,78.4272
26/06/2022,78.2321
25/06/2022,78.2493
24/06/2022,78.2493
23/06/2022,78.1522
22/06/2022,78.2045
21/06/2022,78.1285
20/06/2022,77.9183
19/06/2022,77.9602
18/06/2022,77.9584
17/06/2022,77.9616
16/06/2022,77.9862
15/06/2022,77.8748
14/06/2022,77.9938
13/06/2022,78.1503
12/06/2022,78.1675
11/06/2022,78.18
10/06/2022,78.1753
09/06/2022,77.834
08/06/2022,77.7319
07/06/2022,77.6523
06/06/2022,77.8193
05/06/2022,77.6399
04/06/2022,77.6965
03/06/2022,77.6929
02/06/2022,77.3861
01/06/2022,77.5829
31/05/2022,77.5918
30/05/2022,77.5668
29/05/2022,77.6811
28/05/2022,77.6928
27/05/2022,77.6943
26/05/2022,77.6326
25/05/2022,77.4588
24/05/2022,77.5125
23/05/2022,77.5205
22/05/2022,77.8085
21/05/2022,77.8217
20/05/2022,77.8217
19/05/2022,77.4135
18/05/2022,77.8201
17/05/2022,77.3736
16/05/2022,77.7852
15/05/2022,77.4814
14/05/2022,77.4865
13/05/2022,77.4849
12/05/2022,77.4577
11/05/2022,77.4148
10/05/2022,77.2835
09/05/2022,77.3594
08/05/2022,76.9606
07/05/2022,76.9526
06/05/2022,76.9562
05/05/2022,76.5125
04/05/2022,75.983
03/05/2022,76.445
02/05/2022,76.5214
01/05/2022,76.5276
30/04/2022,76.5278
29/04/2022,76.5278
28/04/2022,76.6023
27/04/2022,76.4625
26/04/2022,76.7943
25/04/2022,76.516
24/04/2022,76.489
23/04/2022,76.4676
22/04/2022,76.4636
21/04/2022,76.2567
20/04/2022,76.2386
19/04/2022,76.4361
18/04/2022,76.2844
17/04/2022,76.3059
16/04/2022,76.3315
15/04/2022,76.3316
14/04/2022,76.3102
13/04/2022,76.1336
12/04/2022,76.1617
11/04/2022,75.8364
10/04/2022,75.914
09/04/2022,75.9198
08/04/2022,75.9198
07/04/2022,75.9148
06/04/2022,75.9458
05/04/2022,75.4492
04/04/2022,75.4533
03/04/2022,75.9808
02/04/2022,75.9575
01/04/2022,75.953
31/03/2022,75.9103
30/03/2022,75.8253
29/03/2022,75.667
28/03/2022,76.0482
27/03/2022,76.2873
26/03/2022,76.2748
25/03/2022,76.2762
24/03/2022,76.3182
23/03/2022,76.5448
22/03/2022,76.1117
21/03/2022,76.3033
20/03/2022,75.9979
19/03/2022,75.9467
18/03/2022,75.9467
17/03/2022,75.9657
16/03/2022,76.0198
15/03/2022,76.2599
14/03/2022,76.4914
13/03/2022,76.7532
12/03/2022,76.7563
11/03/2022,76.7586
10/03/2022,76.293
09/03/2022,76.1058
08/03/2022,76.9013
07/03/2022,77.0668
06/03/2022,76.4392
05/03/2022,76.4157
04/03/2022,76.4284
03/03/2022,75.8766
02/03/2022,75.5934
01/03/2022,75.782
28/02/2022,75.2889
27/02/2022,75.0345
26/02/2022,75.0727
25/02/2022,75.0527
24/02/2022,75.4138
23/02/2022,74.6633
22/02/2022,74.6429
21/02/2022,74.8225
20/02/2022,74.6939
19/02/2022,74.6854
18/02/2022,74.6854
17/02/2022,75.0902
16/02/2022,74.972
15/02/2022,75.1992
14/02/2022,75.6868
13/02/2022,75.4476
12/02/2022,75.6403
11/02/2022,75.643
10/02/2022,75.5579
09/02/2022,74.8108
08/02/2022,74.6892
07/02/2022,74.6494
06/02/2022,74.6503
05/02/2022,74.6453
04/02/2022,74.644
03/02/2022,74.6513
02/02/2022,74.8196
01/02/2022,74.7633
31/01/2022,74.5646
30/01/2022,75.0327
29/01/2022,75.0016
28/01/2022,75
27/01/2022,75.2139
26/01/2022,75.029
25/01/2022,74.7551
24/01/2022,74.6396
23/01/2022,74.4138
22/01/2022,74.4231
21/01/2022,74.4231
20/01/2022,74.4368
19/01/2022,74.4605
18/01/2022,74.6167
17/01/2022,74.2474
16/01/2022,74.27
15/01/2022,74.3892
14/01/2022,74.1589
13/01/2022,73.9723
12/01/2022,73.8102
11/01/2022,73.8209
10/01/2022,74.0557
09/01/2022,74.2493
08/01/2022,74.2325
07/01/2022,74.4649
06/01/2022,74.4242
05/01/2022,74.4299
04/01/2022,74.5291
03/01/2022,74.3961
02/01/2022,74.5055
01/01/2022,74.5133
31/12/2021,74.5113
30/12/2021,74.438
29/12/2021,74.5582
28/12/2021,74.7208
27/12/2021,74.9799
26/12/2021,75.3972
25/12/2021,75.1182
24/12/2021,75.1154
23/12/2021,75.0656
22/12/2021,75.4817
21/12/2021,75.6846
20/12/2021,75.7441
19/12/2021,76.0171
18/12/2021,76.0487
17/12/2021,76.3125
16/12/2021,76.1693
15/12/2021,76.2299
14/12/2021,76.0556
13/12/2021,75.827
12/12/2021,75.7385
11/12/2021,75.717
10/12/2021,75.7925
9/12/2021,75.5934
8/12/2021,75.3824
7/12/2021,75.4071
6/12/2021,75.3916
5/12/2021,75.2657
4/12/2021,75.2401
3/12/2021,75.3155
2/12/2021,74.9983
1/12/2021,75.023
30/11/2021,74.9965
29/11/2021,75.0684
28/11/2021,75.0442
27/11/2021,75.0511
26/11/2021,75.0558
25/11/2021,74.5405
24/11/2021,74.622
23/11/2021,74.4392
22/11/2021,74.4356
21/11/2021,74.3123
20/11/2021,74.3108
19/11/2021,74.3098
